0.00,0.00,0.00
0.00,0.20,0.00
0.00,0.40,0.00
0.00,0.60,-0.00
0.00,0.80,-0.00
0.00,1.00,-0.00
0.20,0.00,0.00
0.20,0.20,0.90
0.20,0.40,0.56
0.20,0.60,-0.56
0.20,0.80,-0.90
0.20,1.00,-0.00
0.40,0.00,0.00
0.40,0.20,0.56
0.40,0.40,0.35
0.40,0.60,-0.35
0.40,0.80,-0.56
0.40,1.00,-0.00
0.60,0.00,-0.00
0.60,0.20,-0.56
0.60,0.40,-0.35
0.60,0.60,0.35
0.60,0.80,0.56
0.60,1.00,0.00
0.80,0.00,-0.00
0.80,0.20,-0.90
0.80,0.40,-0.56
0.80,0.60,0.56
0.80,0.80,0.90
0.80,1.00,0.00
1.00,0.00,-0.00
1.00,0.20,-0.00
1.00,0.40,-0.00
1.00,0.60,0.00
1.00,0.80,0.00
1.00,1.00,0.00
